Epoch,Time_Hours,Ground_Truth,YASA_Raw,YASA_Mapped,Correct,YASA_Confidence
336,2.8,REM,R,REM,1,0.39303468079654197
337,2.808333333333333,REM,W,Wake,0,0.3391678419269118
338,2.816666666666667,REM,N2,Light,0,0.2697049376001034
339,2.825,REM,N1,Light,0,0.40997219961913733
340,2.8333333333333335,REM,N2,Light,0,0.32088861834150184
341,2.841666666666667,REM,W,Wake,0,0.4204211266147558
342,2.85,REM,W,Wake,0,0.3955650773653738
343,2.8583333333333334,Light,N2,Light,1,0.6399142467734731
344,2.8666666666666667,Light,N2,Light,1,0.6048081382337009
345,2.875,Light,N2,Light,1,0.8342086313635163
346,2.8833333333333333,Light,N2,Light,1,0.7637113595595661
347,2.8916666666666666,Light,N2,Light,1,0.7685349261139078
348,2.9,Light,N2,Light,1,0.7206435956122298
349,2.908333333333333,Light,N2,Light,1,0.6579473061122919
350,2.9166666666666665,Light,N2,Light,1,0.7720807406964924
351,2.925,Light,N2,Light,1,0.6127833543721496
352,2.933333333333333,Deep,N2,Light,0,0.8850280433440645
353,2.941666666666667,Deep,N2,Light,0,0.7966111499866754
354,2.95,Deep,N2,Light,0,0.8196561469696511
355,2.9583333333333335,Deep,N2,Light,0,0.9525395611325607
356,2.966666666666667,Deep,N2,Light,0,0.9266042203846858
357,2.975,Deep,N2,Light,0,0.8894116256257396
358,2.9833333333333334,Deep,N2,Light,0,0.8887011171418795
359,2.9916666666666667,Light,N2,Light,1,0.7888715255592833
360,3.0,Light,N2,Light,1,0.9463075226540263
361,3.0083333333333333,Light,N2,Light,1,0.9618914687236976
362,3.0166666666666666,Light,N2,Light,1,0.9480869835158342
363,3.025,Light,N2,Light,1,0.8885617144038037
364,3.033333333333333,Light,N2,Light,1,0.8810172750721887
365,3.0416666666666665,Light,N2,Light,1,0.8793933066510984
366,3.05,Light,N2,Light,1,0.9112220933328915
367,3.058333333333333,Light,N2,Light,1,0.8893436525856161
368,3.066666666666667,Light,N2,Light,1,0.8759811809662964
369,3.075,Light,N2,Light,1,0.8783724227066565
370,3.0833333333333335,Light,N2,Light,1,0.8801231225126515
371,3.091666666666667,Light,N2,Light,1,0.9290875633162416
372,3.1,Light,N2,Light,1,0.9390651207857291
373,3.1083333333333334,Light,N2,Light,1,0.8319162715669888
374,3.1166666666666667,Light,N2,Light,1,0.8969666178536614
375,3.125,Light,N2,Light,1,0.8796717476561238
376,3.1333333333333333,Light,N2,Light,1,0.9046748244000654
377,3.1416666666666666,Light,N2,Light,1,0.9254125153441248
378,3.15,Light,N2,Light,1,0.8604825048445277
379,3.158333333333333,Light,N2,Light,1,0.9022163445094444
380,3.1666666666666665,Light,N2,Light,1,0.720743827502421
381,3.175,Light,N2,Light,1,0.792807106398
382,3.183333333333333,Light,N2,Light,1,0.8591973955040753
